Predicate,Topic,Complement,ItemNumber,Orientation,Block1.SpeakerGender,Block1.Speaker,Block1.SubjectGender,Block1.Subject,Block2.SpeakerGender,Block2.Speaker,Block2.SubjectGender,Block2.Subject,ID-Condition
discover,disorganized,club meetings are too disorganized,36,N,Female,Charlotte,Female,Abby,Female,Wanda,Female,Susan,36-N
feel,membership,club membership numbers have increased,37,N,Male,Josh,Male,Mark,Male,Phil,Male,Zach,37-N
feel,long,the club meetings are too long,38,N,Female,Jessica,Female,Megan,Female,Amber,Female,Mandy,38-N
feel,hot,it's too hot in the meeting room,39,N,Male,Josh,Male,Mark,Male,Phil,Male,Zach,39-N
feel,late,the meeting started late,40,N,Female,Jessica,Female,Megan,Female,Amber,Female,Mandy,40-N
know,earlier,club meetings need to start earlier,41,N,Female,Rosie,Female,Lily,Female,Esther,Female,Felicia,41-N
know,pizza,the pizza has olives on it,42,N,Male,Isaac,Male,James,hot,Greg,Male,Tim,42-N
know,registration,the club registration forms were sent in the mail,43,N,Female,Rosie,Female,Lily,Female,Esther,Female,Felicia,43-N
know,meeting location,the club meeting location needs to be changed,44,N,Male,Isaac,Male,James,Male,Greg,Male,Tim,44-N
realize,hot,it's too hot in the meeting room,45,N,Male,Adam,Female,Lucy,Male,George,Female,Theresa,45-N
realize,late,the meeting started late,46,N,Female,Nancy,Male,Tom,Female,Theresa,Male,George,46-N
realize,newsletter,the club newsletter will be sent next month,47,N,Male,Adam,Female,Lucy,Male,George,Female,Theresa,47-N
realize,recruitment,there need to be more club recruitment activities,48,N,Female,Nancy,Male,Tom,Female,Theresa,Male,George,48-N
see,break,there needs to be a break half-way through the meeting,49,N,Male,Arthur,Female,Holly,Male,Samuel,Female,Desiree,49-N
see,disorganized,club meetings are too disorganized,50,N,Female,Chloe,Male,Matt,Female,Desiree,Male,Samuel,50-N
see,membership,club membership numbers have increased,51,N,Male,Arthur,Female,Holly,Male,Samuel,Female,Desiree,51-N
see,long,the club meetings are too long,52,N,Female,Chloe,Male,Matt,Female,Desiree,Male,Samuel,52-N
think,lighting,the room needs more lighting,53,N,Male,Ed,Female,Molly,Male,Andrew,Female,Tina,53-N
think,fundraiser,the club fundraiser is next week,54,N,Female,Emily,Male,Caleb,Female,Tina,Male,Andrew,54-N
think,earlier,club meetings need to start earlier,55,N,Male,Ed,Female,Molly,Male,Andrew,Female,Tina,55-N
think,pizza,the pizza has olives on it,56,N,Female,Emily,Male,Caleb,Female,Tina,Male,Andrew,56-N
